아아, 42, 180
사바, 69, 146
마자, 98, 184
다하, 66, 167
라타, 94, 186
파차, 77, 180
카다, 71, 148
다파, 80, 178
바나, 70, 188
나차, 57, 147
자라, 64, 169
파카, 92, 142
가자, 65, 157
자나, 58, 189
타아, 66, 167
가자, 41, 189
나사, 99, 157
파타, 75, 186
하자, 42, 150
카사, 64, 171
라하, 55, 141
가라, 60, 183
마바, 48, 171
차사, 86, 150
라차, 54, 146
다마, 74, 158
카자, 59, 149
아타, 65, 145
가사, 61, 188
라하, 53, 164
하바, 94, 155
카자, 66, 154
나카, 70, 152
아바, 81, 167
사가, 90, 156
바라, 46, 189
바차, 74, 169
다파, 80, 173
마타, 40, 171
바마, 91, 170
바타, 44, 143
타타, 60, 164
파파, 58, 164
사나, 67, 144
차마, 70, 152
자마, 41, 149
다자, 88, 164
사카, 67, 147
파차, 60, 150
카파, 48, 174
바아, 74, 187
파파, 52, 149
마타, 85, 157
차나, 71, 178
차가, 77, 176
바사, 55, 165
차카, 42, 184
바라, 61, 186
파자, 55, 141
차하, 52, 150
바하, 74, 147
하차, 66, 152
바다, 71, 145
타카, 97, 171
라나, 72, 185
차마, 59, 188
자하, 64, 154
마타, 54, 186
차라, 82, 160
마자, 75, 160
사바, 65, 160
차나, 98, 171
타하, 90, 179
하하, 59, 188
라나, 97, 141
다자, 85, 180
다자, 63, 177
하마, 62, 141
차마, 61, 158
바라, 77, 149
카마, 62, 146
자가, 60, 182
자차, 40, 145
바하, 76, 142
카사, 72, 154
사가, 84, 160
가아, 56, 186
나타, 52, 159
파가, 63, 188
다바, 88, 170
다바, 45, 162
차아, 99, 176
가라, 45, 187
다가, 90, 156
자파, 85, 187
사가, 69, 153
나사, 68, 173
카차, 97, 149
하마, 44, 164
라아, 91, 179
나자, 77, 161
카나, 64, 145
파파, 43, 149
가카, 43, 175
바다, 92, 144
다마, 50, 151
다마, 47, 159
바하, 61, 183
바바, 80, 183
라아, 65, 143
하라, 59, 168
파가, 69, 167
사마, 89, 183
마나, 55, 174
타가, 69, 166
차타, 43, 177
나다, 45, 178
마라, 51, 163
차사, 68, 173
파카, 52, 162
타바, 53, 148
가타, 90, 171
자카, 82, 179
차라, 85, 161
차차, 57, 140
자타, 71, 165
아다, 47, 142
차가, 40, 142
카가, 86, 189
사카, 88, 157
가나, 68, 179
다나, 93, 159
타자, 65, 169
다타, 74, 148
사하, 69, 160
가아, 94, 142
다나, 71, 147
마바, 72, 175
다하, 58, 161
다라, 82, 174
나하, 57, 181
카다, 81, 163
라사, 45, 157
다파, 56, 164
다차, 90, 173
사가, 52, 141
바라, 40, 146
차타, 94, 168
하다, 83, 165
사하, 74, 183
마아, 63, 156
다차, 42, 186
자하, 94, 166
아가, 40, 181
나아, 63, 152
바타, 83, 184
아파, 53, 142
바타, 84, 181
다나, 41, 164
나파, 77, 174
타사, 70, 153
아다, 99, 151
타파, 67, 142
아바, 52, 180
라자, 70, 164
나바, 41, 171
하나, 78, 168
카타, 70, 148
가라, 68, 161
마다, 80, 148
타바, 94, 167
자파, 71, 180
바사, 78, 179
카사, 51, 157
카아, 91, 155
나차, 43, 176
바아, 70, 158
마가, 56, 153
바하, 83, 185
차자, 48, 176
라카, 85, 187
바파, 97, 143
차바, 45, 148
마카, 52, 143
나하, 56, 184
바카, 90, 146
마라, 81, 189
라자, 40, 180
타파, 78, 180
바다, 42, 148
차파, 61, 186
사자, 89, 186
사나, 69, 186
타다, 53, 143
마사, 76, 178
바카, 54, 174
바나, 44, 179
차타, 42, 151
바라, 95, 164
자타, 61, 167
가사, 50, 159
파라, 72, 151
나차, 71, 166
파차, 96, 147
파하, 84, 181
아하, 41, 176
라사, 63, 187
카타, 89, 144
파하, 90, 156
라하, 49, 161
타바, 66, 141
차사, 76, 143
타바, 79, 178
파가, 44, 181
아타, 88, 160
차바, 67, 156
다타, 90, 181
파마, 83, 146
가나, 60, 140
하자, 74, 151
카바, 65, 158
카라, 59, 173
마자, 78, 147
차자, 63, 189
가사, 54, 167
하하, 67, 153
바라, 48, 178
아아, 42, 151
차타, 88, 156
아다, 99, 185
마바, 69, 181
파하, 95, 150
자마, 48, 174
카아, 48, 157
자사, 42, 159
타나, 77, 186
